steam_appid,name,metacritic,steam_achievements,steam_trading_cards,workshop_support,genres,achievements_total,release_date,supported_platforms
1102340,Funbag Fantasy 2,,True,False,False,Adventure,23.0,"Nov 21, 2019",['windows']
1101120,Gunsmith Simulator,,True,False,False,"Action, Simulation",29.0,"Oct 4, 2024",['windows']
1100140,Touhou Fuujinroku ~ Mountain of Faith.,,False,False,False,"Action, Indie",,"Jun 5, 2020",['windows']
1100260,Circle Empires Rivals,,True,True,False,"Casual, Indie, Strategy",118.0,"Apr 15, 2020",['windows']
1099960,Mini Tone - Minimalist Puzzle,,True,False,False,"Casual, Indie",8.0,"Jul 29, 2019","['windows', 'mac']"
1099470,Karl BOOM,,True,False,False,"Action, Casual, Indie",16.0,"Nov 1, 2019","['windows', 'mac', 'linux']"
1099010,Bocce VR,,False,False,False,"Indie, Sports",,"Jun 19, 2019",['windows']
1099070,Legendary gun,,False,False,False,"Indie, Simulation",,"Oct 11, 2019",['windows']
1098200,Vaporwave Drift,,True,False,False,"Casual, Indie, Racing, Simulation, Sports",8.0,"Nov 3, 2019",['windows']
1098230,Eidolon adventure,,False,False,False,"Casual, Indie",21.0,"Jun 25, 2019",['windows']
1097670,Keeper of the Sun and Moon,,True,False,False,"Adventure, Indie, RPG",27.0,"Aug 8, 2019","['windows', 'mac', 'linux']"
1097780,We Met in May,,False,False,False,Indie,,"Sep 30, 2019","['windows', 'mac']"
1097810,Mi Mi Mi,,True,True,False,"Casual, Indie",40.0,"Jun 19, 2019",['windows']
1097880,Super Naughty Maid 2,,False,True,False,"Casual, Indie",,"Jun 20, 2019",['windows']
1097130,Circuit Superstars,82.0,True,False,False,"Action, Casual, Indie, Racing, Simulation, Sports",33.0,"Oct 31, 2023",['windows']
1097160,Run Roll Rumble,,True,False,False,Casual,27.0,"Aug 7, 2019",['windows']
1097280,Chimeras: Wailing Waters Collector's Edition,,False,False,False,"Adventure, Casual",,"Jul 1, 2022",['windows']
1096560,Windy Kingdom,,True,False,False,"Action, Adventure, Indie, RPG, Simulation, Strategy, Early Access",4.0,"Aug 11, 2020","['windows', 'mac']"
1096990,Nothing Good Can Come Of This,,True,False,False,"Action, Indie",10.0,"Feb 15, 2024","['windows', 'mac', 'linux']"
1096360,Fate of WINDSHIFT,,False,False,False,"Adventure, Indie, RPG, Early Access",,"Jun 24, 2021",['windows']
1095680,Beyond the Wizard,,False,False,False,"Action, Indie",,"Jun 22, 2019",['windows']
1095870,1001 Jigsaw. World Tour: France,,False,False,False,"Adventure, Casual",,"Sep 23, 2019","['windows', 'mac']"
1095370,Voxel Bot,,True,False,False,"Action, Casual",60.0,"Jun 11, 2019","['windows', 'linux']"
1094960,Soul Scathe,,False,False,False,"Action, Indie, RPG",,"Feb 18, 2022",['windows']
1095060,Jar Wars,,False,False,False,"Action, Free To Play, Indie",,"Feb 25, 2020",['windows']
1095090,The Remission of Sins,,False,False,False,"Adventure, Indie",,"Nov 5, 2020","['windows', 'mac']"
1094520,Sands of Salzaar,,True,False,True,"Adventure, Indie, RPG, Strategy",51.0,"Dec 15, 2021",['windows']
1094590,Helvetii,,True,False,False,"Action, Indie",21.0,"Feb 3, 2023","['windows', 'linux']"
1094630,Aircraft War,,True,False,False,"Action, Casual, Indie",22.0,"Jun 14, 2019",['windows']
1094820,Adabana Odd Tales,,False,True,False,"Adventure, Casual",,"Jun 18, 2020",['windows']
1094120,Bepuzzled Puppy Dog Jigsaw Puzzle,,False,False,False,Casual,,"Jun 7, 2019","['windows', 'mac', 'linux']"
1094130,Bugs!,,False,False,False,"Casual, Indie, Strategy",,"Jun 20, 2019",['windows']
1094250,It Stares Back,,False,False,False,"Action, Adventure, Indie, RPG, Strategy, Early Access",,"Jun 25, 2019",['windows']
1093830,Asterism,,True,False,False,"Adventure, Casual, Indie, RPG",5.0,"Jul 22, 2021",['windows']
1093850,JoustMania,,False,False,False,"Casual, Free To Play, Indie, Simulation, Sports",,"Jun 11, 2019",['windows']
1094000,Survive on Raft,,True,True,False,"Indie, Simulation",36.0,"Jul 5, 2019",['windows']
1093150,"Just Sleep - Meditate, Focus, Relax",,False,False,False,Casual,,"Jun 29, 2019",['windows']
1092660,Blair Witch,69.0,True,True,False,"Adventure, Indie",25.0,"Aug 30, 2019",['windows']
1092150,DrainLive,,True,False,False,"Action, Indie, Massively Multiplayer, Free To Play",20.0,"Dec 12, 2019","['windows', 'mac']"
1091570,Transporter Truck Simulator,,False,False,False,"Adventure, Casual, Indie, Racing, Simulation, Sports",,"Sep 17, 2019",['windows']
1090910,Rapture,,True,False,False,"Indie, RPG, Strategy",27.0,"Aug 25, 2020",['windows']
1090530,Pokka Man Blast,,False,False,False,"Action, Casual, Indie, Strategy",,"Jun 4, 2019",['windows']
1089520,Nigel: The Minuscule Adventure,,False,False,False,"Adventure, Casual, Indie, RPG",,"Aug 19, 2019",['windows']
1089760,Mini Transport,,False,False,False,"Casual, Indie, Simulation",,"Feb 20, 2020","['windows', 'mac']"
1089250,Smush,,True,False,False,"Action, Casual, Indie",22.0,"Jun 18, 2019",['windows']
1089100,Power Block,,False,False,False,"Action, Casual, Indie",,"Nov 1, 2019",['windows']
1088160,Led It Rain VR,,False,False,False,"Action, Racing, Early Access",,"Jul 12, 2019",['windows']
1087310,DOOMTANK,,False,False,False,"Action, Indie",,"Jun 12, 2019","['windows', 'mac', 'linux']"
1086670,Roll+Heart,,True,False,False,"Adventure, Casual, Indie",33.0,"Aug 2, 2019",['windows']
1086070,HOT VIEW ECCHI GIRLS,,True,False,False,"Casual, Indie, RPG, Simulation, Sports, Strategy",72.0,"Jun 7, 2019",['windows']
1085190,Black Baron,,True,False,False,"Action, Adventure, Indie, RPG, Simulation, Strategy",30.0,"May 29, 2019",['windows']
1085560,Hentai energy II,,True,False,False,"Casual, Indie",100.0,"Jun 7, 2019",['windows']
1084730,SOUTHBOUND,,False,False,False,RPG,,"Oct 15, 2019",['windows']
1084980,Front Lines,,False,False,False,"Action, Adventure, Casual, Free To Play, Indie, Simulation, Strategy, Early Access",,"Jun 17, 2019","['windows', 'mac']"
1084600,My Time at Sandrock,80.0,True,False,False,"Adventure, Casual, Indie, RPG, Simulation",60.0,"Nov 2, 2023",['windows']
1083800,Glitch Arena,,False,False,False,"Action, Indie, Early Access",,"Jun 1, 2019",['windows']
1084080,Save Daddy Trump,,True,False,False,"Adventure, Casual, Indie",24.0,"Jul 9, 2019",['windows']
1083290,Life of a Capitalist,,False,False,False,"Adventure, Casual, Indie, Simulation",,"Sep 20, 2019",['windows']
1082410,Lost in Tropics,,False,False,False,"Action, Adventure, Simulation",0.0,"May 22, 2024",['windows']
1082430,Before Your Eyes,,True,True,False,"Adventure, Indie",11.0,"Apr 8, 2021","['windows', 'mac']"
1082710,Bug Fables: The Everlasting Sapling,86.0,True,False,False,"Action, Adventure, Indie, RPG",30.0,"Nov 21, 2019",['windows']
1082730,Niara: Rebellion Of the King Visual Novel RPG,,False,False,False,"Indie, RPG",,"May 31, 2019","['windows', 'linux']"
1081120,hoVRboard,,False,False,False,"Action, Indie, Racing, Simulation, Sports",,"Sep 13, 2019",['windows']
1081350,Master Cube,,True,False,False,Indie,50.0,"Jul 18, 2019",['windows']
1081410,GourMelee,,False,False,False,"Action, Casual, Indie",,"Jun 6, 2019",['windows']
1081490,Hyper Bit Chasm,,False,False,False,"Action, Adventure, Indie",,"Jun 3, 2019",['windows']
1081510,She Sees Red - Interactive Movie,45.0,True,False,False,"Adventure, Indie",15.0,"Jul 11, 2019","['windows', 'mac']"
1080440,Dark Blood,,True,False,False,"Action, Adventure, Indie, RPG",77.0,"May 24, 2019",['windows']
1080630,Hero Express,,True,False,False,"Adventure, Casual, Indie, Racing, Simulation",26.0,"Jul 5, 2019","['windows', 'mac']"
1079800,Pistol Whip,83.0,True,False,False,"Action, Indie, Sports",25.0,"Nov 7, 2019",['windows']
1079310,Elemental Girls,,True,True,False,"Casual, Indie",32.0,"May 15, 2019",['windows']
1079330,Corner Cathouse / 街角的猫咪花园,,True,False,False,"Casual, Indie, Strategy",35.0,"Nov 27, 2019",['windows']
1079510,Sumerians,,False,False,False,"Simulation, Strategy",,"Oct 17, 2023",['windows']
1078080,DISONANTE,,False,False,False,"Indie, RPG",1.0,"May 24, 2019",['windows']
1077510,Breaking Box,,True,False,True,"Action, Casual, Indie, Early Access",89.0,"Aug 10, 2023","['windows', 'mac']"
1077030,Chernomeat Survival Game,,False,False,False,"Adventure, Early Access",6.0,"May 23, 2019",['windows']
1077080,Börnies Journey,,False,False,False,Free To Play,,"Sep 16, 2020",['windows']
1075570,Transcender Starship,,False,False,False,Action,,"Mar 29, 2021",['windows']
1073860,Idle Guardians,,False,False,False,"Free To Play, RPG",,"May 10, 2019",['windows']
1074040,The Red Prison,,False,False,False,"RPG, Early Access",,"May 20, 2019",['windows']
1074080,SENRAN KAGURA Peach Ball,,True,True,False,Casual,20.0,"Aug 14, 2019",['windows']
1074170,SELF,,True,False,False,"Adventure, Indie",15.0,"Jan 15, 2020","['windows', 'mac']"
1073410,Boxing Champs,,False,False,False,"Action, Casual, Indie, Simulation, Sports",,"May 29, 2019",['windows']
1072860,Real Scary,,False,False,False,"Adventure, Casual, Indie, Simulation",,"May 11, 2019",['windows']
1072500,AO Tennis 2,65.0,True,False,False,Sports,32.0,"Jan 9, 2020",['windows']
1072750,That Flipping Mountain,,True,False,False,"Action, Adventure, Casual, Indie, Simulation, Sports",11.0,"Nov 17, 2021",['windows']
1071600,Jetlad,,False,False,False,"Action, Indie",6.0,"May 30, 2019",['windows']
1071770,Princess's Peak,,True,False,False,Casual,28.0,"Jun 12, 2019",['windows']
1071310,"1, 2, 3... Bruegel!",,False,False,False,"Casual, Indie",,"Jun 19, 2019",['windows']
1070840,QUEST TOGETHER,,False,False,False,"Action, Adventure, Indie, Massively Multiplayer, RPG, Early Access",,"Dec 24, 2022",['windows']
1070990,Flux,,False,False,False,"Action, Adventure, Casual, Indie, RPG",,"May 24, 2019",['windows']
1070350,Captain Hannon - The Belanzano,,False,False,False,"Action, Adventure, Casual, Indie, RPG, Early Access",,"Mar 30, 2020",['windows']
1069480,Worldwide Sports Fishing,,False,False,False,"Action, Adventure, Casual, Indie, Simulation, Sports",,"May 6, 2019","['windows', 'mac']"
1069540,Super Lumberjack,,False,False,False,"Action, Adventure, Casual, Indie, Simulation",,"May 2, 2019","['windows', 'mac']"
1069660,Ultimate Admiral: Dreadnoughts,,False,False,False,"Indie, RPG, Simulation, Strategy",,"Jan 25, 2023",['windows']
1069270,Rotatex,,True,False,False,"Action, Adventure, Casual, Indie",40.0,"Jun 21, 2019",['windows']
1069000,Rescue bomber,,True,False,False,"Action, Indie",29.0,"May 27, 2019",['windows']
1068460,Stuffo the Puzzle Bot,,True,False,False,"Adventure, Indie",18.0,"Mar 2, 2023",['windows']
1068680,Looking Back,,False,False,False,"Indie, RPG",,"Aug 7, 2019",['windows']
1067900,HOME,,False,False,False,"Adventure, Casual, Indie, Simulation, Free To Play",,"May 11, 2019","['windows', 'mac']"
1068070,Lords Of The Lockerroom,,True,False,False,"Action, Indie, Simulation",24.0,"May 17, 2019",['windows']
1068120,CrunchTime,,True,False,False,"Action, Adventure, Indie",12.0,"Oct 10, 2019",['windows']
1067450,Never Let Me Awake,,False,False,False,"Action, Adventure, Indie",,"May 8, 2019",['windows']
1067810,First Day,,True,False,False,"Casual, Indie, RPG, Simulation, Strategy, Free To Play, Early Access",32.0,"Aug 23, 2019","['windows', 'mac', 'linux']"
1067050,Deep Dungeon: Gym,,True,False,False,"Action, Adventure, Indie, RPG",6.0,"May 6, 2019",['windows']
1067250,Dead Castle / 不思议魔城,,False,False,False,Indie,,"May 17, 2019","['windows', 'mac']"
1067350,Sophie's Dice,,False,False,False,Simulation,,"Jun 17, 2019","['windows', 'mac', 'linux']"
1067380,Tiny World,,False,False,False,"Adventure, RPG",,"May 21, 2019",['windows']
1066670,PULSOR,,True,False,False,"Action, Casual, Indie",17.0,"May 10, 2019","['windows', 'mac', 'linux']"
1066290,猎魔者战纪,,False,False,False,"Adventure, Casual, Indie, RPG, Strategy",,"May 13, 2019",['windows']
1066470,Dextram,,True,False,False,"Action, Casual, Indie",40.0,"Nov 8, 2021",['windows']
1065830,FORGOTTEN IN HELL,,False,False,False,"Action, Adventure, Indie, Simulation",,"Apr 25, 2019",['windows']
1065920,DoomAI,,False,False,False,"Action, Adventure, Indie, RPG, Strategy",,"May 3, 2019",['windows']
1065350,The Grandmaster,,True,False,False,"Action, Casual, Free To Play, Indie",7.0,"May 14, 2019",['windows']
1065520,Autobahn Police Simulator 3,,True,False,False,"Action, Casual, Simulation",56.0,"Jun 22, 2022",['windows']
1064050,Rick Rack,,True,False,False,"Casual, Indie, Racing",41.0,"Jul 31, 2019",['windows']
1064150,Late City Riders,,False,False,False,"Free To Play, Indie, Racing",,"May 7, 2019",['windows']
1063790,Citizen of Rome - Dynasty Ascendant,,True,False,False,"Casual, Indie, RPG, Simulation",40.0,"May 16, 2019","['windows', 'mac', 'linux']"
1063020,Elemental War 2,,True,False,False,"Indie, Strategy",42.0,"May 6, 2022","['windows', 'mac', 'linux']"
1063070,Body Discovery,,False,False,False,"Action, Adventure",,"Apr 29, 2019",['windows']
1063100,Re[Map],,False,False,False,Action,,"May 23, 2019",['windows']
1062220,Succubus Contract,,False,False,False,Simulation,11.0,"Apr 18, 2019",['windows']
1061790,Chopper To Hell,,True,False,False,"Action, Casual, Indie",16.0,"Apr 23, 2019","['windows', 'mac']"
1062110,UNSIGHTED,84.0,True,False,False,"Action, Adventure, Indie, RPG",42.0,"Sep 30, 2021",['windows']
1062120,Peas Adventure,,False,False,False,"Casual, Indie",,"Apr 18, 2019",['windows']
1061420,Obscure Doubt,,False,False,False,RPG,,"Apr 26, 2019",['windows']
1060560,GNRBLEX,,True,False,False,"Adventure, Indie",12.0,"Jul 25, 2019",['windows']
1060570,Hentai Babes - Broken Vows,,True,False,False,"Adventure, Casual, Indie, RPG, Simulation, Strategy",15.0,"Apr 21, 2019",['windows']
1060630,ぶんまわしヒーロー / Full Swing Hero,,False,False,False,"Action, Free To Play, Indie, RPG",,"May 1, 2019",['windows']
1060350,War of the Seraphim,,False,False,False,"Action, Early Access",,"May 22, 2019",['windows']
1060360,血腥之日228-Vampire Martina-Bloody Day 2.28,,False,False,False,"Action, Indie",18.0,"Jan 10, 2020",['windows']
1059860,打击者打字游戏集（Striker A Type Game Pack）,,False,False,False,"Casual, Indie, Racing, Strategy, Early Access",,"May 2, 2019",['windows']
1059080,ROAD HOMEWARD 2: river trip,,True,False,False,Adventure,13.0,"Apr 29, 2019",['windows']
1059150,Ritual: Crown of Horns,,True,True,False,"Action, Indie",19.0,"Nov 7, 2019",['windows']
1059320,Hocus Potions,,True,False,False,"Indie, RPG, Simulation",15.0,"May 12, 2019","['windows', 'mac']"
1059390,UTLL,,False,False,False,"Action, Indie",,"Sep 12, 2019",['windows']
1058200,Pixel Puzzles Traditional Jigsaws,,True,False,False,"Casual, Free To Play",712.0,"Nov 18, 2019",['windows']
1057800,Floppy Knights,83.0,True,True,False,"Indie, Strategy",18.0,"May 24, 2022","['windows', 'mac']"
1057850,Neon Boost,,True,False,False,"Action, Free To Play, Indie",20.0,"May 20, 2019",['windows']
1058110,Metro Trip Simulator,,True,False,False,Simulation,1.0,"May 27, 2019",['windows']
1057420,Earthshakers,,False,False,False,"Action, Free To Play, Indie",,"Apr 22, 2019",['windows']
1056520,Who We Are Now,,False,False,False,Indie,,"May 7, 2019","['windows', 'mac', 'linux']"
1056310,Biplane Racer,,False,False,False,"Casual, Indie, Racing, Sports",,"May 10, 2019",['windows']
1056480,The Garden Pub,,False,False,False,Simulation,,"Apr 28, 2019",['windows']
1056050,LONGING RING OF ESCA,,False,False,False,RPG,,"Aug 15, 2019",['windows']
1055170,Sir Lovelot,,True,False,False,"Action, Indie",20.0,"Mar 3, 2021",['windows']
1055310,The Myth Seekers 2: The Sunken City,,True,True,False,"Adventure, Casual",28.0,"Jun 13, 2019","['windows', 'mac', 'linux']"
1054610,Chocolate makes you happy: Easter,,True,False,False,"Adventure, Casual, Indie, Simulation, Strategy",100.0,"Apr 5, 2019",['windows']
1054640,The Tower of Worth,,True,False,False,"Action, Adventure, Indie",51.0,"May 13, 2019",['windows']
1054770,Gear：治愈齿轮,,True,False,False,"Casual, Indie, Strategy",15.0,"May 10, 2019","['windows', 'mac']"
1054350,Lost and Hound,,False,False,False,"Adventure, Casual, Indie",,"Aug 16, 2022",['windows']
1054430,Fling to the Finish,,True,True,False,"Action, Casual, Indie, Racing",22.0,"Jan 18, 2024","['windows', 'mac']"
1054520,누가 그녀를 죽였나,,False,False,False,"Casual, Indie, RPG, Simulation",,"May 26, 2019","['windows', 'mac']"
1053680,Granny Simulator,,False,False,False,"Casual, Indie, Simulation, Early Access",,"Apr 17, 2019",['windows']
1053750,The Red Reactor,,True,False,False,"Action, Indie, Strategy",13.0,"May 10, 2019",['windows']
1052580,farewell planet / おわかれのほし,,False,False,False,Adventure,,"May 24, 2019","['windows', 'mac']"
1052760,Hexa Path,,True,False,False,"Casual, Indie",60.0,"Apr 2, 2019","['windows', 'linux']"
1052470,OFFICE ESCAPE,,False,False,False,"Adventure, Indie, Early Access",,"Apr 15, 2019",['windows']
1051990,TARS,,True,False,False,"Casual, Indie",,"Aug 5, 2020",['windows']
1052030,Star Impact,,True,False,False,"Action, Casual, Indie",6.0,"May 13, 2019","['windows', 'mac']"
1051590,Lulu & Ennoi - Sacred Suit Girls,,False,False,False,"Casual, Indie, RPG, Strategy",24.0,"Dec 18, 2019",['windows']
1051210,Sageball,,False,False,False,"Indie, Sports",,"Oct 18, 2019",['windows']
1051250,Try To Survive,,False,False,False,"Action, Adventure, Indie, Simulation",,"Apr 3, 2019",['windows']
1051260,Forklift: Simulator,,True,False,False,"Indie, Racing, Simulation",5.0,"Jun 25, 2019",['windows']
1051310,Paper Dolls: Original / 纸人,,True,False,False,"Action, Adventure, Indie",28.0,"Apr 19, 2019",['windows']
1050510,Super Tennis Blast,,True,False,False,"Casual, Indie, Sports",32.0,"May 24, 2019",['windows']
1050690,火柴人和七色彩虹 Stickman's Rainbow,,False,False,False,"Casual, Indie, Simulation",,"Apr 17, 2019",['windows']
1050370,LUNARK,74.0,True,False,False,"Action, Adventure, Indie",34.0,"Mar 30, 2023","['windows', 'mac']"
1049510,These Lands,,False,False,False,"Adventure, Indie",11.0,"Apr 26, 2019",['windows']
1049720,Sqvishy,,False,False,False,"Action, Indie",,"Apr 29, 2019",['windows']
1049140,The Cinema Rosa,,False,False,False,Adventure,12.0,"Apr 8, 2019",['windows']
1048690,Cosmic Cash,,False,False,False,"Simulation, Strategy",,"May 7, 2019",['windows']
1047680,亚利利亚的精灵们 ALILIA,,True,False,False,"Action, Adventure, Indie, RPG",8.0,"Apr 5, 2019",['windows']
1047910,Slow.Bullet VR,,False,False,False,"Action, Free To Play, Indie",,"Apr 18, 2019",['windows']
1047440,DATE A LIVE: Rio Reincarnation,,True,True,False,Simulation,37.0,"Jul 23, 2019",['windows']
1047580,Ghost Grab 3000,,True,False,False,"Action, Indie",24.0,"Nov 8, 2019","['windows', 'mac', 'linux']"
1046930,Dota Underlords,,False,False,False,"Casual, Free To Play, Strategy",,"Jun 20, 2019","['windows', 'mac', 'linux']"
1046980,HORGIHUGH (ホーギーヒュー),,False,False,False,Action,0.0,"Jun 11, 2019",['windows']
1047010,Synergia,,True,True,False,"Adventure, Casual, Indie, RPG, Simulation",10.0,"Jul 27, 2020","['windows', 'mac', 'linux']"
1047190,Lantern of Worlds - Storybook,,False,False,False,"Adventure, Indie, RPG",,"Apr 9, 2019","['windows', 'mac']"
1046070,Helltower,,True,False,False,"Action, Adventure, Indie",12.0,"Mar 26, 2019",['windows']
1045900,Outpost On Syrinx,,False,False,False,Indie,,"Apr 29, 2024",['windows']
1045920,Hentai beautiful girls 2,,True,False,False,"Casual, Indie",56.0,"Apr 19, 2019",['windows']
1045340,PUSSY 2,,True,False,False,"Casual, Indie, Sports",10.0,"Mar 22, 2019",['windows']
1045610,Startup Panic,65.0,False,False,False,"Casual, Indie, Simulation, Strategy",50.0,"Jan 20, 2022",['windows']
1044760,Garden Of Mooj,,True,False,False,"Action, Adventure, Casual, Indie, Simulation",25.0,"Oct 6, 2021",['windows']
1044790,Gado Fight,,False,False,False,"Action, Indie",,"Apr 15, 2020",['windows']
1044930,恋爱公寓（My Girl：Love Story）,,False,False,False,"Casual, RPG, Simulation",,"Jun 14, 2019","['windows', 'mac']"
1043870,Dark Forest,,True,False,False,"Action, Casual, Indie",13.0,"Jun 12, 2020","['windows', 'mac', 'linux']"
1042980,Zen Chess: Mate in Two,,True,False,False,"Casual, Strategy",15.0,"Apr 30, 2019","['windows', 'mac']"
1043180,Lovers of Aether,,False,False,False,"Casual, Indie, Simulation",15.0,"Apr 1, 2019","['windows', 'mac']"
1042530,POWER,,False,False,False,"Massively Multiplayer, Simulation, Strategy",,"Sep 3, 2020",['windows']
1042550,Digimon Story Cyber Sleuth: Complete Edition,,True,True,False,RPG,103.0,"Oct 17, 2019",['windows']
1041710,Sim Empire,,False,False,False,"Casual, Massively Multiplayer, Simulation, Strategy",,"Apr 14, 2019","['windows', 'mac']"
1042020,Trapped on Monster Island,,False,False,False,"Indie, RPG",,"Oct 3, 2019",['windows']
1041450,RRRR2,,False,False,False,"Action, Adventure, Casual, Indie",,"Apr 22, 2019",['windows']
1040370,Thigh Climbers,,True,False,False,"Action, Casual, Indie, Sports",10.0,"Apr 24, 2020",['windows']
1040390,Later Daters - Premium,,False,False,False,"Casual, Indie, RPG, Simulation",,"Apr 16, 2020","['windows', 'mac']"
1040430,Adventure Climb VR,,True,False,False,"Action, Adventure, Casual, Free To Play, Racing, Simulation, Sports",24.0,"Apr 16, 2019",['windows']
1040590,Killer Chambers,,True,False,False,"Action, Indie",26.0,"Apr 5, 2019","['windows', 'linux']"
1040630,Alchemy Story,,False,False,False,Simulation,,"Apr 15, 2020",['windows']
1040000,SpaceBullet,,False,False,False,"Action, Casual, Indie",9.0,"Mar 19, 2019",['windows']
1040080,Please The Gods,,False,False,False,"Adventure, RPG",,"Jul 17, 2019",['windows']
1039200,Poggers,,True,False,False,"Action, Casual, Indie",23.0,"Mar 13, 2019",['windows']
1038670,Mind's Eye: Secrets of the Forgotten,,False,False,False,"Adventure, Casual, Indie",,"Mar 7, 2019",['windows']
1036820,Marvin The Hatter,,True,False,False,"Adventure, Indie",10.0,"Apr 19, 2019",['windows']
1036910,€100,,True,False,False,Casual,100.0,"Mar 18, 2019",['windows']
1037010,Mystery Solitaire Grimm's Tales,,False,False,False,Casual,,"Jun 17, 2019","['windows', 'mac']"
1037130,Dandy Ace,80.0,True,True,False,"Action, Indie",26.0,"Mar 25, 2021","['windows', 'mac']"
1036620,Alien Cow Farm,,True,False,False,"Action, Adventure, Casual, Indie",60.0,"May 31, 2019","['windows', 'mac']"
1034870,Norman's Night In,,False,False,False,"Adventure, Indie",,"Oct 23, 2019",['windows']
1034880,DoraKone,,False,False,False,"Casual, Indie",,"Apr 23, 2019","['windows', 'mac', 'linux']"
1034040,"Causa, Voices of the Dusk",,False,False,False,"Free To Play, Indie, Strategy",,"May 26, 2021",['windows']
1034060,Samosbor,,True,False,False,"Action, Adventure, Indie",1.0,"Feb 6, 2020",['windows']
1033410,Fragsurf,,False,False,True,"Action, Adventure, Casual, Indie, Free To Play, Early Access",,"Jun 7, 2020",['windows']
1033140,Church Era,,True,False,False,"Casual, Indie, RPG, Strategy, Early Access",66.0,"May 24, 2019","['windows', 'mac']"
1033220,The Amazing Shrinking Giraffe,,True,False,False,"Adventure, Simulation, Strategy",3.0,"Feb 16, 2020",['windows']
1032520,JermaSlots,,True,False,False,"Casual, Free To Play, Indie",14.0,"Apr 6, 2019",['windows']
1031900,You Can Kana - Learn Japanese Hiragana & Katakana,,True,False,False,Casual,11.0,"Aug 11, 2021","['windows', 'mac']"
1031470,Beasty Karts,,True,False,False,"Action, Casual, Racing",100.0,"May 14, 2019",['windows']
1031480,TouHou Makuka Sai ~ Fantastic Danmaku Festival Part II,,True,True,False,Indie,28.0,"Mar 18, 2019",['windows']
1031570,Hookshot,,True,False,False,"Casual, Indie",24.0,"Feb 25, 2019","['windows', 'linux']"
1031110,Unroaded,,True,False,False,"Adventure, Casual, Indie, RPG, Free To Play",5.0,"Mar 6, 2019","['windows', 'mac']"
1031120,Bakery Simulator,49.0,True,False,False,"Casual, Indie, Simulation",25.0,"May 3, 2022",['windows']
1031260,Sexy Heroine! Part 2,,True,False,False,"Indie, RPG",14.0,"Apr 30, 2020",['windows']
1031290,Grove flowers,,True,False,False,"Adventure, Casual, Indie, Simulation",21.0,"Feb 26, 2019",['windows']
1031330,Lyratha: Labyrinth - Survival - Escape,,False,False,False,"Adventure, Indie, Strategy, Early Access",,"Mar 11, 2019",['windows']
1030520,Grater,,False,False,False,"Casual, Indie",,"Mar 5, 2019",['windows']
1030580,Your Future Self,,True,False,False,"Adventure, Casual, Indie",9.0,"Mar 8, 2019","['windows', 'mac', 'linux']"
1029750,Voipas,,False,False,False,"Casual, Simulation",,"Jul 5, 2019",['windows']
1029860,Amber's Airline - 7 Wonders,,True,False,False,Casual,16.0,"Apr 18, 2019","['windows', 'mac']"
1029870,Unsung Heroes: The Golden Mask,,True,False,False,"Adventure, Casual, Strategy",10.0,"Jan 28, 2020","['windows', 'mac']"
1029500,中华三国志 the Three Kingdoms of China,,False,False,False,"Free To Play, Indie, Strategy",,"Mar 30, 2019",['windows']
1029050,Dodge Diego,,False,False,False,"Adventure, Casual, Indie",,"Feb 22, 2019",['windows']
1028590,The WILDS,,True,False,False,"Action, Adventure, RPG, Early Access",1.0,"Feb 15, 2022",['windows']
1028830,Destiny Hunter,,False,False,False,"Action, Adventure, RPG",,"Mar 17, 2019",['windows']
1027970,LesLove.Club: Jessica and Ashley,,True,False,False,"Casual, Indie",100.0,"Jun 2, 2019",['windows']
1028360,Robo Miner 2,,False,False,False,Casual,,"Apr 15, 2019",['windows']
1027520,Hentai Waifu Vol.1,,True,False,False,"Casual, RPG, Simulation",87.0,"Feb 21, 2019",['windows']
1027620,The Language of Love,,True,True,False,"Indie, Simulation",14.0,"May 28, 2019","['windows', 'mac', 'linux']"
1027250,The Alliance Alive HD Remastered,,True,True,False,RPG,35.0,"Jan 16, 2020",['windows']
1026770,Lightmare Castle,,True,False,False,"Adventure, Indie, RPG",8.0,"Nov 1, 2019",['windows']
1025410,Metamorphosis,69.0,True,False,False,"Action, Adventure, Indie",26.0,"Aug 12, 2020",['windows']
1025140,LAMUNATION! -international-,,True,False,False,"Adventure, Casual, Simulation",14.0,"Nov 21, 2019",['windows']
1024650,Port Royale 4,68.0,True,True,False,"Simulation, Strategy",50.0,"Sep 25, 2020",['windows']
1024780,Capture the planet: Cute War,,False,False,False,Indie,,"Feb 20, 2019",['windows']
1023700,Palais de Reine,,False,False,False,Adventure,,"Jun 17, 2020",['windows']
1023720,Hidden Mysteries: Royal Family Secrets,,False,False,False,Adventure,,"Aug 14, 2019",['windows']
1023090,Super Agent: Drunk Kent,,False,False,False,"Action, Adventure, Casual, Indie",,"Sep 6, 2019",['windows']
1022780,Animal Fight Club,,True,False,True,"Action, Adventure, Indie, Massively Multiplayer, Simulation, Strategy",15.0,"Apr 19, 2019","['windows', 'mac']"
1022860,Tuber`s Run,,True,False,False,"Action, Casual, Indie",10.0,"Feb 21, 2019",['windows']
1022550,Neon Infinity,,False,False,False,"Action, Indie",,"Feb 13, 2019",['windows']
1021650,Perhaps When We Dream,,False,False,False,"Adventure, Indie",,"Feb 12, 2019",['windows']
